TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.2727,5.5746,192,192,0,4.471,0.0005,0.0005,0.0099
2.2937,5.5608,192,192,0,4.4784,0.0005,0.0005,0.0089
2.2927,5.4937,192,192,0,4.4216,0.0007,0.0005,0.0089
2.3178,5.5641,192,192,0,4.4579,0.0005,0.0005,0.0089
3.2176,8.2846,192,192,0,6.4125,0.0007,0.0007,0.0138
2.3633,5.5344,192,192,0,4.4636,0.0005,0.0007,0.0092
2.3129,5.5492,192,192,0,4.4692,0.0005,0.0005,0.0097
2.3318,5.5605,192,192,0,4.4853,0.0007,0.0005,0.0171
2.3679,5.5259,192,192,0,4.4566,0.0005,0.0007,0.0092
2.3098,5.4975,192,192,0,4.4267,0.0005,0.0007,0.0107
2.401,6.5679,192,192,0,5.3391,0.0007,0.0005,0.011
2.3902,5.4916,192,192,0,4.4221,0.0005,0.0007,0.0102
2.3109,5.4927,192,192,0,4.4246,0.0005,0.0005,0.012
2.3055,5.5178,192,192,0,4.4477,0.0005,0.0005,0.0099
2.3193,5.582,192,192,0,4.4582,0.0005,0.0007,0.0099
2.3091,5.497,192,192,0,4.4244,0.0007,0.0007,0.0089
2.3395,5.6219,192,192,0,4.4354,0.0005,0.0005,0.0133
2.3623,5.5541,192,192,0,4.4661,0.0005,0.0005,0.0102
2.5123,5.5595,192,192,0,4.4625,0.0005,0.0007,0.0107
2.585,5.6084,192,192,0,4.5173,0.0005,0.0007,0.0104
2.3321,5.6002,192,192,0,4.4871,0.0005,0.0005,0.0092
2.3114,5.5034,192,192,0,4.4298,0.0007,0.0005,0.0097
2.319,5.5838,192,192,0,4.4771,0.0007,0.0005,0.0104
2.3439,5.562,192,192,0,4.4584,0.0007,0.0005,0.0097
2.8331,5.5958,192,192,0,4.4666,0.0007,0.0007,0.013
2.3352,5.5958,192,192,0,4.4986,0.0005,0.0007,0.0094
2.349,5.5428,192,192,0,4.462,0.0005,0.0007,0.0097
2.3321,5.5446,192,192,0,4.4469,0.0005,0.0005,0.0094
2.3083,5.5052,192,192,0,4.4377,0.0007,0.0005,0.0102
2.3247,5.5039,192,192,0,4.4316,0.0005,0.0005,0.0099
2.317,5.5515,192,192,0,4.4669,0.0005,0.0007,0.0097
2.3516,5.5769,192,192,0,4.4807,0.0005,0.0005,0.011
2.8423,5.5523,192,192,0,4.4636,0.0005,0.0005,0.0099
2.3405,5.5585,192,192,0,4.4633,0.0005,0.0007,0.0094
2.6534,5.7968,192,192,0,4.6998,0.0005,0.0007,0.0115
2.3805,5.6084,192,192,0,4.5206,0.0005,0.0005,0.0097
2.274,5.4896,192,192,0,4.4275,0.0005,0.0007,0.0084
2.7481,5.5651,192,192,0,4.4625,0.0007,0.0005,0.0102
2.3395,5.4988,192,192,0,4.4267,0.0007,0.0005,0.0092
2.3285,5.5052,192,192,0,4.4285,0.0005,0.0005,0.0097
2.3667,5.6061,192,192,0,4.4871,0.0005,0.0007,0.0102
2.3569,5.5592,192,192,0,4.474,0.0005,0.0005,0.0097
2.3493,5.5682,192,192,0,4.4651,0.0005,0.0005,0.0089
2.3508,5.5856,192,192,0,4.4979,0.0005,0.0005,0.0089
2.3377,5.6084,192,192,0,4.5375,0.0005,0.0005,0.0094
2.8743,5.5147,192,192,0,4.4436,0.0005,0.0005,0.0089
2.2781,5.5044,192,192,0,4.431,0.0005,0.0005,0.0087
4.1146,8.4364,192,192,0,6.5812,0.001,0.0143,0.0138
2.3423,5.5275,192,192,0,4.45,0.0005,0.0005,0.011
