Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
9,Extrapolation,center,Strong,xyz+,0.077466,3,True
9,Spring,center,Strong,xyz+,0.118618,3,True
9,Baseline,center,Strong,xyz+,0.226976,3,True
10,Displacement,center,Strong,xyz+,0.126831,3,True
10,Extrapolation,center,Strong,xyz+,0.082063,3,True
10,Spring,center,Strong,xyz+,0.119324,3,True
10,Baseline,center,Strong,xyz+,0.230866,3,True
2,Displacement,center,Light,xyz-,0.004579,2,True
2,Extrapolation,center,Light,xyz-,0.021526,2,True
2,Spring,center,Light,xyz-,0.056180,2,True
2,Baseline,center,Light,xyz-,0.005741,2,True
3,Displacement,center,Light,xyz-,0.008320,2,True
3,Extrapolation,center,Light,xyz-,0.021766,2,True
3,Spring,center,Light,xyz-,0.055344,2,True
3,Baseline,center,Light,xyz-,0.011442,2,True
4,Displacement,center,Light,xyz-,0.016020,2,True
4,Extrapolation,center,Light,xyz-,0.025590,2,True
4,Spring,center,Light,xyz-,0.057711,2,True
4,Baseline,center,Light,xyz-,0.019724,2,True
5,Displacement,center,Light,xyz-,0.024290,2,True
5,Extrapolation,center,Light,xyz-,0.030258,2,True
5,Spring,center,Light,xyz-,0.065267,2,True
5,Baseline,center,Light,xyz-,0.035504,2,True
6,Displacement,center,Light,xyz-,0.038355,2,True
6,Extrapolation,center,Light,xyz-,0.035572,2,True
6,Spring,center,Light,xyz-,0.074977,2,True
6,Baseline,center,Light,xyz-,0.057040,2,True
7,Displacement,center,Light,xyz-,0.043297,2,True
7,Extrapolation,center,Light,xyz-,0.038733,2,True
7,Spring,center,Light,xyz-,0.080367,2,True
7,Baseline,center,Light,xyz-,0.068147,2,True
8,Displacement,center,Light,xyz-,0.058398,2,True
8,Extrapolation,center,Light,xyz-,0.052598,2,True
8,Spring,center,Light,xyz-,0.092325,2,True
8,Baseline,center,Light,xyz-,0.087593,2,True
9,Displacement,center,Light,xyz-,0.060889,2,True
9,Extrapolation,center,Light,xyz-,0.054295,2,True
9,Spring,center,Light,xyz-,0.095534,2,True
9,Baseline,center,Light,xyz-,0.093875,2,True
10,Displacement,center,Light,xyz-,0.072862,2,True
10,Extrapolation,center,Light,xyz-,0.064920,2,True
10,Spring,center,Light,xyz-,0.106359,2,True
10,Baseline,center,Light,xyz-,0.108966,2,True
1,Displacement,center,Medium,xyz-,0.085688,2,True
1,Extrapolation,center,Medium,xyz-,0.076814,2,True
1,Spring,center,Medium,xyz-,0.119692,2,True
1,Baseline,center,Medium,xyz-,0.127212,2,True
2,Displacement,center,Medium,xyz-,0.095437,2,True
