Run,Model,Location,Intensity,Direction,Value,Occlusions
3,Displacement,center,Medium,xz+,0.041922, 2 
3,Extrapolation,center,Medium,xz+,0.048161, 2 
3,Spring,center,Medium,xz+,0.123007, 2 
4,Displacement,center,Medium,xz+,0.048971, 2 
4,Extrapolation,center,Medium,xz+,0.050579, 2 
4,Spring,center,Medium,xz+,0.129134, 2 
5,Displacement,center,Medium,xz+,0.051516, 2 
5,Extrapolation,center,Medium,xz+,0.054704, 2 
5,Spring,center,Medium,xz+,0.132689, 2 
6,Displacement,center,Medium,xz+,0.051728, 2 
6,Extrapolation,center,Medium,xz+,0.056170, 2 
6,Spring,center,Medium,xz+,0.135190, 2 
7,Displacement,center,Medium,xz+,0.064686, 2 
7,Extrapolation,center,Medium,xz+,0.061104, 2 
7,Spring,center,Medium,xz+,0.145019, 2 
8,Displacement,center,Medium,xz+,0.075272, 2 
8,Extrapolation,center,Medium,xz+,0.072764, 2 
8,Spring,center,Medium,xz+,0.155127, 2 
9,Displacement,center,Medium,xz+,0.083520, 2 
9,Extrapolation,center,Medium,xz+,0.079254, 2 
9,Spring,center,Medium,xz+,0.163828, 2 
10,Displacement,center,Medium,xz+,0.084662, 2 
10,Extrapolation,center,Medium,xz+,0.078718, 2 
10,Spring,center,Medium,xz+,0.167480, 2 
1,Displacement,center,Strong,xz+,0.090942, 2 
1,Extrapolation,center,Strong,xz+,0.083409, 2 
1,Spring,center,Strong,xz+,0.173209, 2 
2,Displacement,center,Strong,xz+,0.094898, 2 
2,Extrapolation,center,Strong,xz+,0.084711, 2 
2,Spring,center,Strong,xz+,0.179129, 2 
3,Displacement,center,Strong,xz+,0.095853, 2 
3,Extrapolation,center,Strong,xz+,0.086532, 2 
3,Spring,center,Strong,xz+,0.181826, 2 
4,Displacement,center,Strong,xz+,0.101362, 2 
4,Extrapolation,center,Strong,xz+,0.090316, 2 
4,Spring,center,Strong,xz+,0.186686, 2 
5,Displacement,center,Strong,xz+,0.106045, 2 
5,Extrapolation,center,Strong,xz+,0.091760, 2 
5,Spring,center,Strong,xz+,0.190986, 2 
6,Displacement,center,Strong,xz+,0.110857, 2 
6,Extrapolation,center,Strong,xz+,0.096705, 2 
6,Spring,center,Strong,xz+,0.195779, 2 
7,Displacement,center,Strong,xz+,0.111966, 2 
7,Extrapolation,center,Strong,xz+,0.095352, 2 
7,Spring,center,Strong,xz+,0.197695, 2 
8,Displacement,center,Strong,xz+,0.116384, 2 
